=== Prometheus Logs ===
prometheus    | ts=2026-03-15T15:45:12.345Z caller=main.go:531 level=info msg="Starting Prometheus" version="(version=2.45.0)"
prometheus    | ts=2026-03-15T15:45:12.346Z caller=main.go:536 level=info build_context="(go=go1.20.4, user=root@buildkitsandbox)"
prometheus    | ts=2026-03-15T15:45:12.347Z caller=main.go:537 level=info host_details="(Linux 5.15.0-1041-azure #48-Ubuntu SMP)"
prometheus    | ts=2026-03-15T15:45:12.348Z caller=main.go:538 level=info fd_limits="(soft=1048576, hard=1048576)"
prometheus    | ts=2026-03-15T15:45:12.349Z caller=main.go:539 level=info vm_limits="(soft=unlimited, hard=unlimited)"
prometheus    | ts=2026-03-15T15:45:12.352Z caller=web.go:562 level=info component=web msg="Start listening for connections" address=0.0.0.0:9090
prometheus    | ts=2026-03-15T15:45:12.353Z caller=main.go:978 level=info msg="Starting TSDB ..."
prometheus    | ts=2026-03-15T15:45:12.358Z caller=tls_config.go:274 level=info component=web msg="Listening on" address=[::]:9090
prometheus    | ts=2026-03-15T15:45:12.359Z caller=tls_config.go:277 level=info component=web msg="TLS is disabled." http2=false address=[::]:9090
prometheus    | ts=2026-03-15T15:45:12.365Z caller=head.go:613 level=info component=tsdb msg="Replaying on-disk memory mappable chunks if any"
prometheus    | ts=2026-03-15T15:45:12.366Z caller=head.go:696 level=info component=tsdb msg="On-disk memory mappable chunks replay completed" duration=1.234ms
prometheus    | ts=2026-03-15T15:45:12.367Z caller=head.go:704 level=info component=tsdb msg="Replaying WAL, this may take a while"
prometheus    | ts=2026-03-15T15:45:12.371Z caller=head.go:775 level=info component=tsdb msg="WAL segment loaded" segment=0 maxSegment=0
prometheus    | ts=2026-03-15T15:45:12.372Z caller=head.go:812 level=info component=tsdb msg="WAL replay completed" checkpoint_replay_duration=45.123µs wal_replay_duration=5.234ms wbl_replay_duration=123ns total_replay_duration=5.567ms
prometheus    | ts=2026-03-15T15:45:12.374Z caller=main.go:999 level=info fs_type=EXT4_SUPER_MAGIC
prometheus    | ts=2026-03-15T15:45:12.375Z caller=main.go:1002 level=info msg="TSDB started"
prometheus    | ts=2026-03-15T15:45:12.376Z caller=main.go:1183 level=info msg="Loading configuration file" filename=/etc/prometheus/prometheus.yml
prometheus    | ts=2026-03-15T15:45:12.378Z caller=main.go:1220 level=info msg="Completed loading of configuration file" filename=/etc/prometheus/prometheus.yml totalDuration=2.345ms db_storage=1.234µs remote_storage=2.345µs web_handler=567ns query_engine=789ns scrape=1.234ms scrape_sd=123µs notify=234µs notify_sd=345µs rules=456µs tracing=567µs
prometheus    | ts=2026-03-15T15:45:12.379Z caller=main.go:961 level=info msg="Server is ready to receive web requests."
prometheus    | ts=2026-03-15T15:45:12.380Z caller=manager.go:995 level=info component="rule manager" msg="Starting rule manager..."

=== Grafana Logs ===
